m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_eT
167.629717	103.977711	1.289452	2.993309	3.039373	168.881694	128.168310	1.271335	2.323844	2.177360	512.902519
108.901842	76.753023	2.094138	2.549996	2.926758	117.723281	76.810402	1.518860	1.041527	2.579962	283.721402
110.482569	25.053948	2.327412	2.904116	2.830560	73.807023	27.849345	1.600859	0.820490	0.676664	225.219085
404.421662	132.175379	2.630504	1.307622	1.077218	153.214777	42.644674	1.956157	2.358929	2.869344	322.281620
144.405624	92.282204	3.038779	2.042143	2.432317	225.983544	143.274427	2.602296	1.675310	1.990080	333.595080
306.812459	181.843571	0.590093	3.017827	2.829248	90.578932	30.763332	0.378242	1.278025	0.539121	726.969217
212.536657	61.519930	2.081880	2.788013	2.946719	196.027141	41.733763	1.178771	2.577524	2.339972	273.263911
406.047848	148.182449	0.847903	2.652724	1.902145	166.875508	73.321086	0.599784	0.841355	1.381028	128.982162
166.026082	74.914695	2.652542	2.456490	3.133979	184.784949	32.272911	0.879652	1.037720	2.514484	281.960110
83.213653	45.453884	2.367818	2.428763	2.767472	376.070591	297.832172	2.502359	2.073714	1.922965	296.752670
221.246824	122.741552	1.731298	2.974331	1.957803	222.311683	60.399287	2.502729	0.028310	0.663385	364.865804
168.014217	132.325224	3.057101	2.916191	2.666865	192.154959	52.586184	1.229657	2.226957	2.108242	539.462883
166.816040	144.860889	0.350429	2.289143	2.753995	96.958806	79.541058	0.146928	0.693041	1.024277	427.205823
325.694801	299.882453	2.966694	2.896471	2.682395	208.696987	120.071381	0.440193	0.454985	2.367848	810.341011
232.103884	166.527620	1.340473	2.875620	2.511966	66.778526	31.792412	1.479825	2.785530	2.030344	490.072302
184.401948	134.016708	1.928156	2.863863	2.558469	168.303881	56.737144	0.601061	2.645506	1.002408	249.216087
160.885157	85.997182	0.445274	2.855403	3.006202	562.086099	71.275356	1.683912	0.117167	0.559522	333.515072
182.367141	61.850241	1.956009	2.602335	2.461584	175.883209	36.879426	1.939139	0.219808	2.851589	392.266412
123.805761	13.836435	2.382354	0.637410	0.144477	104.319133	7.483419	2.408288	2.863496	2.224220	350.486109
208.214783	52.288788	2.792556	2.781145	2.192689	170.231735	47.349495	1.279060	0.809020	0.056192	309.316546
152.351117	108.388707	1.914469	2.970123	1.664732	170.934841	81.203090	1.799809	0.025538	2.980231	195.009342
191.903683	88.125303	2.416112	2.523312	2.987321	96.631142	47.521228	0.386829	1.001581	0.864395	291.801736
170.559648	64.854159	2.134288	1.800374	0.157032	202.338425	79.198089	2.740951	0.432328	2.182241	228.132560
275.489727	227.829524	3.070143	2.340284	2.153187	193.889666	43.001746	0.461779	2.111591	2.370867	106.995117
447.273093	212.037467	2.984569	2.059458	1.027538	160.702956	42.915784	0.683082	2.074510	2.443699	164.445033
248.981047	159.302237	2.998199	2.993749	2.799336	159.728480	82.763606	0.670079	1.747915	1.938802	683.243723
198.109911	63.330471	3.104955	0.546194	0.984221	59.008335	13.760756	2.768851	2.147258	1.089111	135.813264
326.478259	67.571077	2.887681	2.712687	1.343332	173.123004	53.240390	2.932540	0.173480	1.820847	901.577780
166.409675	88.604723	1.183247	2.318374	2.344847	133.676910	55.880453	1.830885	2.732486	2.351899	292.632871
153.875522	117.636803	2.770207	2.771468	1.466345	176.133313	82.367746	1.767468	0.400076	0.659438	139.222672
151.525854	69.593222	2.641952	1.924178	2.485516	233.885129	26.181641	1.100196	0.293304	0.652632	77.492477
202.887793	80.818958	2.640488	2.463652	1.047050	111.004072	29.941106	0.101071	0.579705	1.475020	132.614368
