m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
406.047848	148.182449	0.847903	2.652724	1.902145	166.875508	73.321086	0.599784	0.841355	1.381028	8079.930400	128.982162
215.994225	62.385946	2.978177	2.295013	2.141797	227.020652	121.305807	0.554792	2.263564	0.163330	20907.247352	570.436154
305.892857	75.483847	3.063286	2.409953	1.836354	555.965512	205.288707	1.531909	0.896354	0.965902	323220.758185	546.061026
317.451789	151.522600	1.111651	2.674928	1.533575	202.579156	91.366341	2.833709	0.431066	2.565679	166490.485929	309.969127
422.268942	305.751025	0.846946	2.683520	3.027950	255.456710	73.729295	2.950183	2.396019	0.043316	424215.040019	322.624749
198.791175	144.793852	2.450672	2.369471	3.044112	350.035418	93.527761	0.301838	2.081263	0.988873	3658.849406	257.298334
135.943828	71.106016	1.773407	1.101409	0.065252	175.616806	73.124391	2.863390	2.210526	1.930913	248777.413854	339.953799
377.521732	242.279304	2.106309	2.371862	2.302562	169.374741	64.072244	1.518243	2.828283	1.168263	14760.257625	211.825545
702.857016	609.068667	1.748705	3.123592	1.145546	267.857787	54.312953	1.759523	0.953446	0.120005	62799.613691	249.483737
329.018751	303.224711	2.547871	2.722365	2.859876	686.778936	607.774992	2.407740	0.960178	1.160877	80765.851466	505.676191
388.428176	280.606323	1.830265	2.232690	3.060637	160.635394	85.640350	1.861850	1.186291	1.461282	51584.519285	350.279044
232.375666	87.243056	0.387612	2.568350	1.857177	150.967404	77.391208	0.308600	1.610868	0.090794	1377.048384	374.469000
453.047973	324.916379	0.427126	2.580517	3.012893	394.113297	73.744325	0.185865	2.526389	1.991394	1278.502089	238.229548
167.368875	56.643824	1.471358	2.986320	2.026957	232.146666	81.011583	3.112012	0.168615	0.700214	142989.158552	303.217622
157.629842	55.770986	2.756937	1.783767	2.211343	173.378520	77.995165	1.813664	2.126491	0.745584	52455.269356	301.594338
110.709954	85.439591	1.527558	1.366763	0.900159	173.486583	74.892572	2.291864	2.160942	1.368953	80383.268307	165.131848
166.908830	73.866065	1.122624	2.983796	3.135261	130.182863	74.418048	0.051792	1.819713	1.045977	26.315535	315.577968
152.467420	94.618347	3.103604	2.476120	2.847866	145.349641	92.068362	0.552992	1.897340	0.015532	5848.445856	406.571297
285.760802	110.501298	0.089652	2.561217	2.990531	172.134900	78.517982	0.758734	1.251724	0.711500	11081.435946	408.050645
