m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missingT
173.135799	66.276482	1.228506	0.671726	2.623069	157.818099	66.666121	2.859706	2.661829	2.510985	218152.962295	342.936372
133.353928	66.662144	1.573785	2.640241	2.710152	179.439626	98.955443	2.386803	2.231885	0.210939	11669.066719	164.124441
176.504524	34.329168	2.236958	1.567589	1.535038	138.332080	32.723580	2.831679	1.029924	0.106125	70042.115349	209.074720
153.785686	60.024929	2.305306	2.705138	2.377055	177.496098	81.769673	0.967531	1.098651	0.430216	6242.076247	97.855563
139.182253	78.985307	1.990108	1.842012	1.347307	151.078038	46.161140	1.877229	1.269088	0.740407	54516.167503	112.589948
114.706493	27.830967	2.641314	1.879564	3.072235	103.255426	32.429403	1.624979	0.688844	1.038094	84001.422823	414.583534
164.880976	57.732049	2.893646	2.143669	3.117600	147.631654	20.004493	1.198115	1.436919	1.742600	10104.787206	176.282793
171.864777	84.826869	2.052962	3.085410	2.256510	151.529539	83.777102	2.858921	0.380736	1.942422	87312.490926	470.916537
151.010704	68.300831	1.930772	1.805190	1.808891	92.639086	23.009958	2.778265	2.028909	2.907989	45071.656532	175.509975
139.784713	32.672418	0.890127	2.543645	1.762337	213.735684	140.884719	3.131415	1.843144	0.391401	39225.319447	129.259748
176.229401	91.652487	2.548431	2.162496	1.228798	202.581600	106.238202	1.609628	1.212594	2.096896	8723.842076	118.788585
142.362150	66.808024	1.395652	0.895939	0.050682	262.536483	45.687888	2.048222	2.624544	2.854135	100904.242115	139.259592
136.459733	30.285212	0.740056	2.602271	1.666683	165.014081	42.858270	2.947233	0.313100	2.917650	274666.719094	361.708653
252.526470	37.969553	2.091303	3.054588	2.753601	430.608484	58.641357	1.366731	0.702711	2.372585	18394.394730	238.790762
149.232706	61.089750	2.173439	2.997779	2.799643	110.541268	20.248556	1.445683	2.067484	3.077971	15200.552427	405.296813
669.388082	342.772452	1.116326	1.835821	2.372577	574.664953	109.430498	1.766899	2.254263	2.894901	31717.333807	67.026339
174.959471	41.507817	2.888755	2.882495	3.026498	207.349719	179.302266	0.417859	2.026110	1.508089	76.188096	20.318098
257.391219	224.754577	0.327749	1.617824	2.259458	289.303857	182.107706	3.003760	1.760198	1.649333	40585.114586	263.772937
376.722253	203.132085	1.070645	3.112585	2.878124	203.159102	77.701117	1.065125	0.059859	0.288508	56085.780608	818.578822
377.686174	322.206796	0.748170	2.507598	3.058691	234.022075	132.179928	0.361457	0.604411	2.156149	2962.107929	290.129920
207.061010	141.645783	2.902676	2.521045	2.906364	141.984258	88.347613	0.746448	0.015088	0.679769	6460.422380	217.756350
184.444942	101.189624	0.952416	3.129610	2.141134	108.944026	84.670433	1.449298	2.233718	0.649491	16686.412691	237.088966
124.614716	92.179703	2.159225	1.922191	1.497203	165.803577	75.559007	2.056815	1.269875	0.539442	10163.302100	51.930138
161.188216	69.430183	0.902027	3.095557	2.416152	248.125681	83.364815	0.781477	1.507188	2.210185	3564.634043	37.391703
161.158286	64.660504	0.008822	2.491023	3.056531	241.595187	60.352599	2.042008	1.720571	2.505766	115679.556993	449.635813
164.516266	111.315353	2.174481	1.803157	2.897169	155.575516	75.523813	0.240359	1.517152	2.212383	414.538275	258.140855
148.342724	60.548502	2.326263	3.102171	2.980613	139.084457	61.109945	1.387539	0.063846	1.825168	31793.064449	386.092713
307.059246	217.647694	2.421060	2.745220	0.411422	227.683837	157.738550	1.375117	0.643534	0.354396	19883.574171	659.605545
316.162445	77.446608	1.283691	1.591968	1.440448	123.818581	33.352522	1.809327	2.225879	1.745950	73362.893457	260.449298
205.038036	33.535421	1.599472	0.060829	0.475385	132.946466	44.296705	2.184600	3.051478	1.762513	31603.529267	87.883158
215.413728	78.103173	1.107615	0.190224	0.442365	500.030906	295.671625	2.746040	2.731943	1.155015	288877.465101	279.817789
157.002550	65.931150	1.757492	2.594674	2.319259	139.644191	69.628776	2.895378	0.991005	0.776823	79348.446747	287.579095
422.065612	187.425269	0.534566	2.305108	3.064699	266.103046	134.031321	2.096904	3.012221	1.827674	543577.002894	752.319703
286.636142	193.423596	1.395861	2.025169	2.852653	129.151274	25.388765	2.346682	0.863920	0.375298	195993.639562	514.321392
139.639349	42.434139	2.456434	1.166685	1.684367	235.368000	114.200133	1.803389	0.753351	1.390471	54774.245658	166.070475
165.617517	90.203551	1.358119	2.365570	3.122689	93.519282	24.257193	2.053041	2.849226	2.288391	100633.992839	542.806062
209.350294	100.120541	1.481666	3.116509	2.417851	173.955684	40.032386	0.982250	1.550480	1.497450	21165.524037	547.713048
492.531019	407.338327	1.516934	1.438973	2.173972	145.005187	56.517420	2.315904	2.792719	2.233825	171711.802673	443.996042
204.114304	170.122186	1.592746	3.005202	2.348978	310.327224	159.325608	2.787152	0.364960	0.109664	126145.808870	340.896339
158.956188	71.375796	0.827045	2.981110	3.013786	148.044615	53.933603	2.049129	1.853791	0.916956	40382.886510	332.804170
149.084704	77.619595	1.744090	1.139242	0.294831	180.596298	86.070074	2.795613	1.666245	2.287690	99787.087569	172.797071
147.742732	78.017520	1.249067	0.569741	1.566519	158.955859	70.936626	3.048769	2.511207	1.466529	115266.714773	239.359362
300.513702	247.354270	1.577077	2.460045	2.458477	212.688697	90.893476	0.014629	1.988419	2.503580	7.713761	499.333186
192.884151	84.950275	2.339354	2.299223	3.004557	148.502983	41.080391	2.518905	1.402767	0.457321	111030.945176	538.717195
135.837358	33.800913	1.223400	2.822333	2.847516	128.812001	33.318924	2.401774	1.130659	1.763864	19054.567930	113.461738
184.625200	85.371242	2.782516	2.626414	2.987380	179.021883	68.281227	1.077436	0.569184	1.788148	22950.141118	435.021565
507.215184	440.488460	2.411043	2.899528	1.750284	115.978466	69.353760	1.014514	0.590206	2.391491	11774.960269	207.917271
167.429572	83.682267	2.823963	3.066257	2.663221	121.792069	51.513249	0.771119	0.361080	2.549369	20672.115673	366.828754
1079.199950	1038.253104	2.969713	2.558115	2.233992	141.880865	59.744084	2.961028	1.004722	1.545844	154111.407007	467.767985
238.552853	51.984316	2.814023	0.810458	0.502445	145.829598	53.419054	0.007137	3.137131	2.924032	0.276661	79.298135
163.481506	82.941553	2.966174	0.823917	2.281612	120.758380	52.550590	2.024565	1.686793	1.896974	52254.530924	251.764283
169.781015	86.046928	2.279811	1.694148	2.972160	143.256095	63.291412	1.674682	2.506867	0.000956	26883.670685	202.296829
224.329264	103.953370	0.187538	2.166106	3.140020	119.297864	45.251763	2.151917	3.123671	1.659464	129807.606681	338.684027
160.531054	154.922302	2.641858	2.710177	2.859127	222.033889	61.632335	2.949146	1.642755	0.253523	445202.938349	613.284779
463.980630	407.914458	2.026212	2.297301	2.860035	90.650633	48.716156	1.504651	3.037875	1.017581	45541.815676	415.775556
182.557388	103.878844	2.363232	1.327109	1.056090	196.687353	72.416219	1.937914	3.033211	1.811141	201690.073084	309.285176
382.471521	352.043139	3.136214	0.533268	1.942768	221.003019	110.020220	3.042598	1.116896	2.745548	170543.259536	287.959936
165.891604	64.972969	2.285027	3.043786	2.449881	230.712269	31.400602	1.897614	0.100038	0.068028	93914.625442	254.999665
