m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
555.811416	261.469207	2.885570	2.051082	2.468248	485.940161	237.125226	0.520870	1.038568	2.605471	6381.228764	75.716918
235.690718	125.558023	1.353366	2.806203	3.089047	358.928298	95.009015	2.079614	1.153710	0.539105	77996.158739	200.752959
255.775054	199.781302	0.589255	2.732279	2.617854	252.976139	96.399483	0.912485	0.090772	1.011009	32646.839790	207.235998
167.325122	47.385753	3.053520	1.338840	2.041894	193.790777	17.902299	1.846472	0.664630	0.117709	38593.460550	142.345750
520.284570	435.982151	0.261726	1.213549	2.565362	285.164436	75.180555	0.607528	2.485041	2.543869	7146.852844	198.970352
597.020533	133.853866	1.915384	2.009227	1.285418	579.453643	463.570974	3.097820	0.333314	0.350633	45603.485469	234.844343
133.767542	86.114417	1.517045	3.021618	2.656358	183.739924	88.583649	0.993357	0.770308	1.488157	20127.069673	307.487245
160.688961	82.723852	1.156314	2.823185	2.196762	254.290442	182.999203	0.470078	1.596341	2.021242	2499.753641	262.340317
162.652259	26.670944	2.902712	0.850597	0.579456	177.724706	20.668427	2.435371	1.979928	2.075404	94214.278823	196.129232
474.543209	381.545428	0.294446	1.224656	0.711015	180.788789	134.755923	1.666513	2.996870	2.160274	10215.490234	287.314396
192.510439	110.942256	2.259214	2.250698	2.803164	263.682838	214.034201	1.739750	0.677834	1.835776	16205.863778	205.108568
1001.892883	918.550072	1.161229	2.320517	2.249522	699.830857	107.663027	0.551328	0.488897	0.477927	6123.305423	139.283060
407.175483	361.812725	2.439694	0.624117	1.395831	188.172846	175.414325	1.730622	2.172966	2.236078	1531.024966	34.681277
284.825589	200.051701	1.768708	0.245617	0.638863	229.181642	151.313279	3.017713	1.974078	2.946613	59978.266844	478.559499
326.815575	140.137728	0.748474	2.569726	2.745808	177.760527	149.349502	0.378979	1.381323	1.578537	73.795397	74.867443
1338.680846	1304.867732	0.220138	2.435603	3.134213	253.006340	210.843238	0.044457	0.378203	0.930211	51.831565	282.337354
215.940831	90.580524	1.457607	3.019175	3.117461	246.389764	88.936153	2.191042	0.137401	1.487985	16653.606348	216.294934
225.498626	176.450571	3.005056	2.890215	3.132197	248.493391	232.672532	1.382567	0.204858	0.070710	5412.271929	459.035963
261.566910	166.950261	2.714051	2.917792	2.397425	122.558316	55.108455	1.346757	2.855437	1.574277	20065.914731	374.212479
357.961068	317.950944	0.449082	1.919251	2.020053	147.006672	76.521672	1.530752	2.898755	2.251089	22437.451855	168.171189
608.280706	484.233112	1.181873	2.157320	2.088162	413.931280	279.973045	0.801946	0.333105	0.733675	20048.972869	379.872673
367.124613	145.998133	2.105470	0.893278	1.580870	214.084585	110.999311	1.481299	3.042496	2.192507	25594.244455	109.314908
213.071745	132.874627	0.936914	1.793172	1.916425	164.291859	50.778143	1.762633	0.779021	0.366104	15853.473895	72.205371
992.009488	698.269880	1.116259	2.907759	2.992708	585.387962	73.582035	1.941735	0.361181	0.810833	79450.571414	100.240881
623.448315	225.499232	1.152428	2.018730	1.319038	350.830512	228.170842	1.681923	2.027161	1.863349	104935.212622	315.174816
222.606500	76.384262	1.217133	2.092897	2.994310	116.802987	63.775608	1.046834	1.630257	1.538074	2177.705061	113.887550
428.998132	64.846315	2.298919	2.772393	2.392876	486.871195	144.479790	0.275689	1.188545	0.875713	913.857935	71.780817
1040.472547	905.909757	1.634690	0.283489	0.603597	316.035499	119.148372	2.242499	3.043119	2.426733	392794.213452	490.424379
157.656140	104.512075	0.999853	2.452747	1.884154	260.718810	228.074889	0.624741	1.544604	1.557107	1364.319622	313.195877
196.187290	44.089491	2.681211	2.122616	2.601561	195.765989	78.740514	1.024849	1.403452	0.123336	24192.396295	243.717012
237.765596	104.501407	3.104887	2.812807	2.048704	160.455549	19.961164	0.113957	0.011190	0.523255	1068.426591	636.947947
436.446819	342.188551	2.184200	0.350985	0.668196	233.686078	84.521869	2.616962	3.020521	2.163186	115519.739318	109.177560
362.056108	264.748359	2.728646	0.566101	1.297944	320.477510	101.686864	2.862268	1.128060	0.851556	72721.414498	126.672219
472.862953	418.714946	2.954355	2.684686	1.166883	136.374440	40.749692	1.794044	0.855681	1.330404	164632.170342	404.104857
186.583490	84.581775	0.364598	1.920109	2.897005	231.871973	23.535001	1.404100	2.134937	2.256563	10184.377179	65.540692
161.300971	56.681754	2.518935	1.626465	0.063479	152.694329	84.398802	2.577407	2.435998	1.906911	52475.158198	193.217133
171.654535	67.107899	1.931582	2.597795	2.838836	184.738788	123.412290	0.656920	1.816409	2.289066	6770.590903	232.108233
