m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
535.612381	422.507006	0.379406	2.407294	2.778553	281.571740	179.155842	1.520552	0.015104	1.777671	81565.398188	375.332225
706.687124	319.975550	0.627514	2.326319	2.871332	422.591331	129.675910	0.418707	1.543094	0.221998	7629.918740	215.753178
337.932068	140.822369	2.822882	1.607516	2.309288	193.750818	107.673473	1.084154	2.691578	1.094443	45225.501121	257.171182
387.432989	258.140571	1.725846	3.045830	3.035180	255.135356	113.751219	0.664135	0.112153	0.073953	31949.933019	473.406903
590.949753	208.603908	0.883742	1.882710	2.603041	860.250809	145.967035	0.188139	1.759805	2.023715	3515.097430	249.993046
156.749362	74.373546	2.413099	3.089943	2.763767	196.793565	77.963196	0.085054	2.553219	1.632418	157.773619	188.294692
391.274912	315.101391	0.567182	1.711549	1.918896	248.863134	130.461569	3.116226	0.996122	1.283206	29119.813861	116.210649
235.518950	77.390256	0.599363	1.687387	2.015879	233.385391	110.322568	2.485184	1.094505	2.307398	140889.952961	158.323649
235.958941	105.598473	1.094428	2.275756	2.563630	356.566548	272.801823	1.345048	0.367717	1.559246	9501.070957	103.441638
216.695272	139.326729	2.948865	2.657972	1.401780	164.635478	46.252210	1.569216	0.026256	0.432813	49511.066016	269.740770
367.447664	216.286643	0.924689	1.471571	0.862772	322.417351	153.043477	2.900716	1.543201	1.668658	93556.002354	160.535195
493.112274	402.034088	3.063889	2.833734	2.637554	417.361148	184.833427	0.216873	0.527368	1.422578	8694.129641	498.450713
140.176280	71.705079	1.612828	2.336433	2.916946	351.227355	87.866970	2.598305	0.606280	1.517879	16625.733220	130.983192
156.946587	72.725618	1.565227	2.984556	2.590825	199.981752	89.766929	0.585770	2.749556	0.217766	10941.832166	183.403286
455.130085	280.518953	3.137562	2.028350	1.821831	247.968983	125.579819	0.572465	1.239745	1.219840	26809.124431	411.720225
158.088741	88.089843	0.623657	0.407327	1.375653	171.089580	45.938455	2.836453	1.756322	2.326931	159577.797178	185.083068
641.378950	496.116159	0.618995	3.116279	2.859400	1161.054018	323.935370	0.073009	0.303770	0.253094	470.486312	405.755003
175.942538	123.923160	2.905035	2.838464	2.712985	96.607646	43.416760	1.072818	0.395310	0.224723	21722.038357	454.949066
166.665480	82.493937	0.879742	2.139479	1.844265	180.451576	95.996178	1.199705	2.392343	2.810858	32029.038221	450.234828
354.913481	305.637042	2.782296	2.658659	2.049297	221.103635	68.547490	0.617769	0.720198	0.369189	27424.158628	385.991263
322.292678	92.600883	2.578943	0.145658	0.094321	271.110980	130.050587	2.730151	2.386741	2.474562	231688.963391	365.435247
361.817379	201.384052	1.725095	2.414783	2.544765	375.167144	82.867800	0.086507	1.309604	0.861612	197.041377	139.191714
142.688963	67.773483	2.678190	2.156624	2.788084	197.480516	87.296771	0.933295	1.984798	2.801283	19337.834217	217.681784
219.825307	139.198094	2.513197	1.918636	0.996080	178.106105	89.514074	2.245722	1.571042	1.115731	16269.662099	136.604061
1073.769645	645.231956	2.256058	2.172470	0.968772	490.436619	206.783199	1.713948	0.536265	0.063455	68115.016389	135.923384
289.363999	145.590602	0.581065	2.140578	2.559080	212.632049	92.580367	0.702341	2.030675	2.852197	5487.791229	183.655657
223.929173	68.277240	2.718756	1.701249	2.378282	171.575449	64.502149	2.966628	0.937235	1.431112	21208.462572	157.751444
398.922014	246.669313	2.576204	2.179505	2.688229	261.131526	37.908248	0.892442	0.248683	0.025371	27169.413087	279.315321
858.146648	525.380388	1.121581	2.511817	2.481487	233.211162	128.905667	0.218596	0.708978	0.973175	3209.701593	290.079175
639.052037	254.338262	0.717562	2.596504	2.814286	109.558336	56.534722	2.141053	3.044941	2.451820	37680.220625	314.284196
179.917871	131.839767	2.341496	2.707528	2.232410	311.718012	181.565571	0.706609	0.524902	0.965566	12194.024917	162.307291
295.509300	101.101479	2.613359	1.333610	1.359292	176.971488	77.298921	1.188993	1.298249	3.134702	13241.901906	108.243691
347.348470	228.955028	0.196918	0.424463	1.328414	184.356430	54.566441	2.772097	3.047328	2.873161	558750.461423	366.072046
551.303636	470.127636	2.229847	2.564245	2.916312	532.702100	140.583800	0.005111	1.641305	2.468656	5.531903	765.098354
535.927791	234.563549	0.231818	1.205533	2.015600	356.189057	68.377084	2.753214	2.826754	2.120498	962171.127936	481.913865
323.638671	103.616302	0.582802	1.831656	0.890295	183.363802	73.228202	2.921770	2.191396	3.119758	161575.024467	393.370606
261.840269	177.214418	2.192553	3.124016	2.247348	325.410620	156.570348	0.903098	1.155812	0.319009	40487.597316	326.650087
227.403939	98.765367	1.679531	3.000667	2.763720	212.387637	34.375239	1.397461	1.591185	2.108850	55717.014996	326.700926
548.980518	275.503519	1.388994	2.642348	1.467530	269.167026	67.320653	0.794276	2.368163	1.513108	31495.672543	476.339135
254.451244	158.561499	0.297908	0.762578	1.857385	327.694574	73.672576	2.823194	1.822429	1.210677	1651235.210898	696.391276
260.767907	99.158963	1.984476	2.500777	2.917173	185.187437	64.461083	0.703318	1.337036	0.103228	7368.093279	111.572452
355.087300	129.074569	1.483992	0.525806	0.051935	181.028891	77.233097	2.812282	2.490315	3.112557	191533.065478	347.954211
758.492972	646.442028	2.434240	1.762975	2.968090	175.555331	78.920934	0.757420	0.828078	1.055973	13172.060840	185.188711
293.961904	138.371970	0.000654	3.089853	1.890325	740.684348	72.181206	2.071082	0.316093	0.079598	81284.292453	319.574202
274.525485	135.996274	2.208448	2.708905	2.415214	180.347307	69.592898	1.043238	0.512529	0.657395	33294.403495	140.087682
398.136111	240.231385	2.171870	2.114562	1.002172	192.701181	83.236921	1.656135	1.731876	1.794404	56660.603590	338.289167
397.055277	112.404880	0.745649	1.821810	0.817551	253.431861	219.104410	2.388118	1.472576	2.105055	46726.997761	204.913720
544.526816	212.925481	1.511084	2.332871	2.881340	380.674133	73.644369	0.087278	1.327987	2.076989	252.804179	202.308003
228.324975	171.693973	0.913255	1.412654	1.334362	267.594872	109.118338	2.327755	2.962106	1.360265	52446.464395	131.187420
369.251629	157.379463	0.357071	2.617178	2.459174	462.118983	379.057695	2.947971	1.595541	0.422330	60800.693894	333.117914
231.422472	92.661821	1.940998	1.503246	1.333801	313.955545	138.674312	0.762019	2.508092	1.480002	18142.801872	201.872221
463.600734	363.194619	0.245599	0.142135	0.909925	183.270559	61.438990	3.070386	2.057891	1.147916	24749.426573	109.269314
296.380969	95.220515	3.135223	2.730885	2.744676	186.495266	62.024195	0.553510	0.397398	0.285951	15964.346458	322.392492
251.877847	180.840776	2.254284	0.325807	1.004592	239.987901	140.231426	1.159381	2.730978	2.903325	11612.870937	176.024442
320.727092	279.578687	2.299239	2.552999	1.271243	188.751681	117.955230	1.114341	0.488192	0.898507	29361.569955	223.290933
