m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
263.120666	188.946576	2.125992	2.642223	1.444359	510.994132	390.235167	1.793107	1.834175	1.592438	27309.557235	134.112021
152.866917	63.419727	2.350905	2.550595	2.638253	192.314510	86.524602	0.496450	1.644070	1.529614	6866.004479	203.866604
201.806565	110.308074	2.464017	2.273108	2.579770	165.914624	36.218762	0.328810	1.238674	2.851097	520.003295	104.172961
209.727383	75.684882	0.621985	2.649400	2.965603	273.703766	241.584219	2.546875	3.072282	0.466705	37401.794319	327.021982
294.243332	101.352075	0.078861	3.108907	2.475492	325.453319	146.816513	2.483537	2.514453	1.284537	132091.493356	383.910900
310.910644	187.332408	0.090799	2.576953	2.210185	238.008783	160.306967	0.656563	2.934487	1.740199	4590.978116	213.666891
155.794584	72.829767	2.695139	2.658862	2.818659	255.528167	97.340249	1.012070	0.264992	0.236933	25266.658602	328.897739
234.546492	184.560494	2.679155	2.915123	2.382921	248.124969	195.636156	0.861590	0.402321	2.403231	10540.588740	301.293456
166.551723	76.668750	2.649562	2.897292	1.860277	309.381090	270.863013	1.108809	0.327114	3.038526	10149.202011	287.611460
185.232773	81.656802	2.591750	1.087965	0.378991	702.264248	647.728538	2.919627	2.191208	2.440211	32012.798586	211.199317
203.880293	121.733860	0.940659	0.304922	0.116815	1291.239816	860.698207	2.897127	1.781861	1.644940	321668.756922	150.657315
260.527847	142.272442	0.119140	1.788955	2.745240	245.296005	190.462152	1.074132	2.212745	2.231648	7798.161181	112.999206
801.178883	331.002990	0.767905	1.299612	2.656462	675.712732	447.933967	1.848306	0.720016	0.216282	91928.665648	256.519039
211.360761	77.047853	3.045721	2.801593	2.212837	227.262556	152.960067	1.010449	0.570519	1.155242	19822.682854	566.466939
182.114202	53.627069	3.041073	2.749662	2.775785	217.012349	114.792658	0.658900	0.743248	1.798567	14448.760283	467.186985
129.544109	42.255585	1.477038	0.589890	0.820101	284.389944	208.985270	2.774753	2.515238	1.793818	49547.327280	122.277596
798.614489	502.587037	0.857501	2.033410	2.379662	188.137646	79.064793	1.009844	0.697741	0.553342	28863.335318	244.977941
385.794232	285.055117	0.997023	2.486708	2.265429	315.818217	250.357915	0.861677	0.561244	1.114332	16585.935095	276.568630
433.861029	304.302536	1.576461	2.943449	3.039063	137.567252	108.000645	0.387544	0.090576	0.438663	3218.385784	323.461989
292.023799	176.942943	1.874681	3.000720	2.055479	369.375214	187.378310	1.595730	0.232169	0.792470	57253.953085	200.230695
222.311622	124.018833	1.571323	0.952867	0.184211	260.926542	167.177967	1.932746	2.747783	0.225816	25509.736434	229.738269
750.681037	565.033033	0.648211	2.869064	2.800748	157.979784	71.639005	0.181026	0.848706	0.219598	2393.346560	342.154383
286.467236	60.286657	2.114970	1.506160	0.596267	164.083121	34.024898	2.385777	3.089694	2.710377	60883.614414	318.491007
620.480155	491.249456	1.281154	2.363915	2.543829	581.941726	414.812687	1.826012	0.947602	1.100866	114365.968521	263.493091
460.516047	293.423257	1.000230	2.671478	1.821714	450.128697	126.258561	0.327406	2.821460	1.656527	3848.516690	296.410287
474.784210	126.067436	0.001226	2.596599	2.196828	283.972418	64.049033	2.677754	0.554298	0.549137	151379.969193	384.418995
88.008034	52.451228	3.137494	3.127418	2.665613	171.699880	90.764980	0.875056	0.074295	0.833848	9278.885315	151.208210
309.287577	234.746685	1.381229	2.434118	2.380520	184.130533	47.912253	2.693798	1.247994	1.932051	54403.670513	257.522824
163.054699	64.946704	2.291963	2.218518	2.624232	303.610403	138.135904	1.473538	0.364752	0.074925	14392.371209	114.798148
213.922891	104.735009	2.760732	2.670869	2.518295	526.423555	394.293794	0.487706	0.106920	1.148364	4814.114663	204.989603
237.917081	99.804820	3.041786	2.200351	2.788171	402.183112	131.007262	1.498286	2.027448	2.666632	26658.931072	158.694262
208.628890	94.222533	2.600117	2.606401	3.128377	285.197574	113.412179	0.422088	1.882978	2.951185	6409.418986	217.232939
391.948720	245.063448	2.864003	0.528659	0.215770	161.241694	73.616490	2.457415	2.272929	2.833244	62899.032385	165.154934
176.605465	72.567925	1.659188	1.368387	2.153184	521.301392	144.936694	2.254137	1.141255	1.424661	50535.942810	121.666745
273.033629	125.818863	0.904986	2.845606	2.048592	165.707415	72.070642	0.237570	1.670231	2.757498	1285.742022	415.904415
198.364794	133.480371	2.453189	2.028865	1.938670	191.945184	96.536378	0.955250	1.497565	0.966551	28433.007210	179.482375
306.165218	156.435108	2.638491	2.379307	1.902349	250.808296	171.135622	0.586164	1.094117	0.394426	13913.164034	185.861889
181.551794	93.365044	1.587564	3.028405	2.918364	193.537514	146.231081	1.638544	0.260621	1.637995	9055.800603	137.047575
465.987172	351.341361	1.735206	2.021379	2.322381	271.162675	169.285295	1.014542	1.377774	0.210020	63155.207658	226.181783
626.124425	67.217498	0.387760	0.623296	0.451862	781.111621	486.252309	2.855283	1.072146	1.143576	332622.048057	286.449111
179.064099	78.251264	2.160869	2.281472	2.708801	349.822722	161.211405	2.958277	0.807368	0.811063	136031.040327	250.369368
333.746766	198.436637	1.409976	2.304588	2.396081	363.697063	82.233761	0.336654	1.067819	1.617137	2313.601673	120.567256
589.252638	489.020006	0.896703	2.878699	1.306094	374.724770	153.158500	2.996515	0.468774	0.293594	296606.764282	557.687067
229.090226	147.398986	2.130053	2.825438	3.040565	173.237350	88.502599	0.858860	1.815881	0.103115	20540.517178	291.288618
806.999888	768.018859	1.821918	1.719475	2.428762	249.399493	219.703509	1.527263	1.448503	1.162306	11621.359435	107.334363
634.739067	499.071469	2.623018	2.203916	0.802237	290.016439	220.225388	1.314285	1.399348	0.489412	43471.100106	202.551227
360.945575	311.428939	2.305198	2.610557	2.302354	262.619838	167.115012	0.345487	1.683096	0.895828	1215.931412	179.628802
446.061618	301.230823	2.197757	1.886834	2.936671	391.507376	82.678783	0.383901	2.590215	2.417362	8159.909598	384.888986
388.312204	182.079393	2.959333	2.240360	2.525933	491.524128	210.336340	0.499493	3.039827	0.147093	15934.704192	212.975656
320.586874	223.672806	0.438074	2.409633	1.481125	172.181134	123.907510	1.261772	1.775611	2.522030	11806.982829	128.100629
257.135643	125.783363	1.866766	0.523845	0.397349	211.676234	156.932948	3.076780	0.309385	1.464002	25980.574195	150.805696
144.881140	77.793330	2.923746	2.702695	2.737735	515.379902	30.626535	0.529611	1.090700	0.730502	4086.594553	285.299660
317.781485	264.436282	2.732723	2.303943	2.963819	384.226618	73.785587	1.867215	0.308800	0.305159	31145.595365	139.963240
204.184266	78.094727	2.369444	3.135947	2.832994	178.807759	75.648631	1.006408	0.650157	0.406606	11149.271187	124.243869
279.079623	98.877037	0.313282	2.363886	3.137579	319.548801	78.164387	0.286583	2.874694	2.418732	2236.050650	141.080860
266.373191	74.711509	2.949456	2.742121	2.385179	216.199192	73.387297	0.435136	0.274975	0.923793	12213.142419	269.039054
163.389482	75.852666	2.969493	2.365179	2.663118	300.559707	131.852799	0.823976	1.618222	1.498264	11331.011998	295.083580
396.833275	342.717670	2.348094	2.378628	0.792488	422.093421	234.176804	3.006780	1.313699	0.268739	45405.793840	173.168916
183.904806	148.780193	2.599428	2.627014	1.624691	170.745850	75.871304	0.169736	0.854601	1.193943	311.525158	113.411322
206.573757	137.790516	2.020849	2.847534	2.842072	610.205196	147.549816	0.716744	0.759190	0.773611	7592.154171	292.504765
330.456117	205.477629	1.316444	2.405349	2.655313	175.316920	101.849675	0.484534	2.195705	1.226182	2636.419197	203.591786
204.662560	158.712430	3.124714	1.182669	2.647541	192.130575	88.801852	2.054192	0.878631	0.229331	37526.526279	122.193820
776.285619	696.513562	1.744942	0.232584	0.504624	171.944832	84.402517	2.853949	2.806876	1.723843	78637.409539	182.068708
175.174678	65.173321	2.913133	2.938616	3.065664	250.249624	116.789864	1.315988	0.112369	1.300433	22794.299491	354.352534
167.043305	75.272620	2.797158	2.794067	2.681171	353.149495	240.365212	0.413153	0.329786	0.233535	4633.681665	200.255860
363.557473	126.154274	2.772821	1.180558	1.239590	443.163116	89.501008	1.032017	1.588478	2.649981	34478.004167	180.244352
1053.555747	1026.274033	2.370685	2.126945	2.540519	138.623765	51.989460	0.963375	1.569628	2.034624	36508.361236	293.931235
310.074470	65.907864	0.567223	2.340680	1.635253	771.970596	640.605958	2.783808	1.855704	0.483718	31736.175603	198.832025
503.758078	452.550982	1.020388	0.442230	0.767399	114.564090	63.824099	2.904837	2.433009	2.577315	34788.365391	203.368953
357.123630	254.477252	2.752108	0.796675	0.467781	184.239191	127.503389	2.882396	2.194644	3.002642	131239.223141	261.413030
535.847156	388.484288	2.956176	1.985923	2.702493	571.588943	138.849497	0.103045	1.398471	2.532337	2026.338635	598.780499
