m3a m2a angles_b_a  angles_j1_a angles_j2_a m3b m2b angles_b_b  angles_j1_b angles_j2_b mT_b  eT_missing
355.345719  283.758316  2.033969  1.695726  2.226400  286.105227  75.251044 1.801304  2.937840  0.610508  121638.877758 231.036668
249.470414  199.067275  2.243945  2.724447  2.210436  299.091270  70.790139 0.659271  0.764484  2.872703  16114.874457  315.883501
126.976574  53.040280 0.843964  1.032138  1.066490  525.855688  58.256181 2.653839  2.148223  1.385404  49664.920855  123.609957
2300.489251 2236.789352 0.598493  2.590061  2.650428  195.405462  73.323912 1.470626  0.595484  0.452186  26839.155432  229.785412
159.870203  53.220062 0.610865  3.035212  2.299326  130.399584  84.126089 3.137420  0.036430  1.892706  28233.189279  234.768555
201.494190  110.830850  2.432270  1.553312  2.598068  391.695469  172.185342  0.816985  2.113674  1.875607  21935.166354  180.107134
170.682493  75.720089 2.974282  3.026430  2.339029  436.183200  35.355501 1.517165  0.150838  0.203108  61458.888764  393.499490
172.481155  77.766727 1.154422  2.025131  1.629865  169.870437  114.380716  2.567103  2.742956  1.550554  100742.392645 262.927635
325.863958  239.378779  1.725060  3.101311  2.200024  172.502082  42.310513 1.018375  2.031329  2.768434  14404.432301  359.948171
326.608710  249.570867  0.834126  3.117810  2.292513  620.419672  431.208816  2.524846  0.571117  2.380201  117990.744350 241.891584
168.730085  76.825981 2.085373  2.094819  2.931066  274.170034  85.121334 0.365430  0.310264  0.263557  1590.027767 240.010124
230.119783  153.842848  2.164371  2.727968  2.893597  401.635191  34.179174 1.131829  2.335834  1.480059  30473.462871  232.467980
174.922746  74.953805 1.107464  2.515760  3.000857  527.854708  256.455489  0.633985  2.420250  2.727336  12147.976834  151.768714
219.040325  159.605281  2.699511  0.823352  1.644724  512.624204  285.641985  1.806454  2.872508  2.147839  55847.569957  152.150518
366.125359  113.227926  1.822774  2.133449  2.111974  162.551572  62.914240 1.169355  1.169192  0.394786  13157.288811  163.158840
835.773582  779.618732  1.688368  1.557449  2.718478  816.566343  595.592160  2.059838  1.552529  1.341845  85002.581713  247.785833
326.095708  273.481802  1.516342  2.492890  2.599804  252.857394  78.084460 1.443481  0.615520  1.603100  34507.788446  208.645035
301.089661  241.542652  2.954812  2.334786  2.535244  409.196189  203.532053  1.029491  0.356924  0.931735  28469.684420  228.417178
154.754292  62.063574 1.934221  3.110754  2.791811  253.771624  163.940960  0.190309  0.810097  2.967231  513.339614  244.157881
168.194688  88.626830 1.167308  2.539959  3.136180  128.173752  13.306962 2.666359  2.532981  0.622331  49630.019254  345.787110
429.149624  330.674566  2.215240  2.882466  2.579966  453.204520  26.251006 0.795663  2.524554  2.051868  14548.055577  215.933622
156.795191  75.935663 2.121216  1.535967  2.471525  204.417504  46.768315 1.492414  2.134741  2.816556  22563.649218  235.312004
658.181783  514.493473  3.018235  1.105343  2.707528  208.836156  177.846059  1.946323  1.850862  3.036492  37429.377832  202.474651
447.580968  355.384780  1.198923  2.238708  2.967753  159.800508  70.970538 1.798106  3.047872  1.966235  186824.670091 489.200217
167.977267  82.555146 1.477495  2.896821  1.985749  238.802585  51.220339 2.087059  0.056634  1.375415  48150.764160  253.394349
171.654777  80.022704 2.982724  2.566392  2.675071  127.673769  72.685896 0.212782  1.530043  0.892509  594.731688  129.504579
227.489282  133.573628  1.519023  2.835146  2.978630  149.541485  78.310240 1.444989  0.726692  2.438770  19307.849501  236.175430
1054.721504 756.977870  1.737666  2.561468  3.007222  245.179057  142.893144  1.079192  2.725456  2.641584  27911.883117  393.896898
279.609838  159.486398  2.159534  2.989613  1.931491  141.004193  38.909042 0.603601  0.562800  1.482334  6646.528390 172.582177
171.441197  48.903315 3.110285  1.942445  1.484619  139.632648  53.883178 1.001236  2.320418  1.433755  15010.104625  197.586029
374.126084  73.010133 1.447420  2.972619  3.067576  175.791767  71.383120 0.928074  1.426091  1.680473  47329.262042  357.905759
198.739371  58.547265 1.205509  2.527458  2.640956  122.826231  28.030178 2.299928  0.616865  0.359750  34805.971214  228.036635
193.337787  71.667339 1.306924  1.792514  2.900496  202.924385  108.487569  0.431202  2.572649  0.185941  1218.738408 124.544954
159.597349  149.411552  2.924242  2.986755  2.816443  227.874597  124.060565  0.079693  0.846959  1.850841  119.718652  540.403497
128.997698  42.604282 1.437853  2.529440  2.538044  217.541287  69.034579 0.954416  1.981437  3.027424  19414.850544  215.844688
285.716850  121.243209  1.061752  1.519031  2.730362  363.261309  28.089615 2.880505  0.084429  0.263285  374905.111261 363.146974
542.518338  481.131504  0.566820  1.957867  2.640802  180.977121  86.259429 2.912692  2.757050  1.317633  46949.614516  197.629063
722.901503  526.067308  0.404002  3.018517  2.955728  339.378655  174.214270  0.741891  0.163313  2.080906  4458.534470 126.545682
150.546419  52.187802 1.699950  3.081592  2.427685  177.895467  68.250662 0.273938  0.397041  1.667642  925.150530  118.135248
236.005418  165.706916  2.764569  2.869576  1.959594  797.537829  769.336777  0.983574  0.785311  0.866123  17947.737006  614.761121
352.746503  244.901612  0.458445  3.007561  2.858550  299.327780  112.538433  2.117279  1.005185  2.522977  65089.053823  114.447291
249.123399  125.647797  1.325342  2.391532  2.438240  318.876362  121.090501  1.055303  0.426741  3.132493  38330.033089  287.470797
427.841789  296.241734  2.048684  0.505944  0.334207  228.411092  166.883460  2.641139  2.857070  0.751665  42830.085381  186.874750
430.627589  355.683006  1.834738  1.704558  1.381981  161.818916  76.264830 1.051222  3.109116  2.404501  15593.778389  308.894344
707.847308  506.663636  0.015379  0.303142  1.816003  166.631047  37.243552 2.782487  2.397816  2.990508  77573.241597  199.726983
225.350836  70.185370 2.991102  1.310114  0.343015  282.492059  169.253441  0.862937  2.072211  1.454330  10435.729894  205.223783
159.937089  77.281557 1.645787  2.334624  3.131052  263.576295  70.362799 0.633684  2.089947  2.378670  7239.236124 184.964617
288.254154  229.410175  1.205953  2.184083  0.251669  523.444616  436.509433  1.646950  1.502772  1.852294  95977.564334  405.169201
172.642842  81.257812 2.823224  2.237688  2.313875  330.838734  125.950918  1.020071  0.203134  1.948776  27447.223221  198.993360
218.875294  154.421112  3.113206  3.131925  2.596034  161.609010  72.264638 0.816486  0.018754  1.416490  6760.941446 107.333252
517.535546  241.098594  1.637599  1.139449  2.624246  431.757948  334.629100  0.963961  0.609689  2.867912  5852.797229 144.892608
132.378376  60.901280 2.654473  3.073382  2.755673  457.543298  239.918436  0.529069  2.464777  2.723088  16016.150341  263.736438
235.188013  91.190625 2.946690  2.761093  3.023541  215.988648  93.155701 0.405798  2.159405  0.531953  5908.544920 364.434334
253.750162  196.575020  1.647855  3.060476  1.247595  241.732932  79.025693 2.154981  0.210603  0.724645  38687.211453  214.827457
464.165823  389.432327  1.026684  2.815346  2.207594  389.837224  88.054749 1.152369  1.140703  0.586281  23884.256815  173.933322
382.949045  242.400327  2.917324  1.688928  1.816842  129.789424  92.155782 1.412386  2.410474  0.741230  42474.022170  328.584405
281.566930  212.793553  2.427571  1.937163  0.977471  120.263396  89.371456 2.310766  0.628954  1.804213  21460.004308  162.990368
514.024134  414.658923  2.498258  1.620846  0.855778  219.765908  84.704321 1.393748  2.994328  1.677010  32298.776473  172.811772
174.056876  81.374979 2.663775  3.041633  2.482657  240.415392  115.849903  0.092169  0.383897  3.079037  332.057487  556.988826
405.237427  87.032403 2.706306  3.079815  2.767769  387.494594  75.433413 0.209772  1.132007  0.302089  4219.380566 269.402466
293.422404  96.515534 1.993226  2.008449  1.827277  156.885125  29.559116 0.346566  2.866280  3.038961  1775.230628 200.181265
152.226768  63.704813 2.585033  3.074277  3.127602  100.072228  32.865933 1.772402  0.685937  1.364583  29219.013972  331.867845
210.716097  95.349047 2.255419  0.380241  0.277504  113.440132  24.962852 2.250294  2.638756  2.359409  54397.080106  142.986935
274.413770  61.597216 1.948656  0.692249  0.199155  235.403496  88.969620 2.760505  1.414993  2.290849  104896.910006 160.902317
201.214770  119.199793  1.201929  2.820496  2.996540  97.944188 71.907428 0.807569  0.320391  1.502824  6223.295603 191.422578
227.624704  87.486141 1.860185  1.653694  2.662718  611.682116  517.756753  2.757609  1.605251  0.380341  93224.548195  264.083958
587.225901  454.533592  1.514635  3.081573  2.450848  149.136109  68.785462 0.607010  0.262140  1.131758  9368.112734 333.276532
541.385149  337.925598  3.045548  1.367225  1.745310  476.650227  94.719344 0.288391  1.810699  2.994569  2018.478503 143.795727
218.800150  109.565228  2.895643  2.328870  2.328841  331.662241  97.889265 0.466870  2.481942  2.290241  7184.223728 123.334083
479.489865  235.498267  0.267780  2.150737  1.321726  162.221895  52.903483 2.310957  1.586673  2.393029  287655.701391 374.433992
711.391692  563.499964  2.302774  1.693036  2.093875  921.405455  808.738035  2.565912  0.674652  0.166129  46662.048999  198.446023
198.582321  148.781026  2.816091  2.906754  1.744592  92.660999 35.488653 1.439264  0.092242  0.914801  27295.221080  406.854783
249.606499  128.323707  3.080751  2.112807  2.949946  257.335579  153.438240  0.803429  1.806850  3.004308  17073.030930  574.931188
417.625423  372.428027  1.856389  3.038524  2.717086  120.004735  62.198414 0.841483  0.060274  0.582537  11808.602474  387.581365
180.610382  87.031689 2.703255  2.222892  3.062594  432.004260  147.117811  1.238586  2.847464  0.794259  47573.257012  435.621184
413.457984  293.771755  2.934321  0.117940  0.738665  247.019489  140.084765  2.601681  2.376077  2.543392  109176.557320 207.393699
286.440380  250.795035  2.345944  3.003276  2.955840  318.208293  221.873707  3.070348  0.316589  1.584104  71168.766667  267.113931
193.076582  50.213884 1.669613  1.663409  2.897716  173.909601  66.683470 2.200049  0.229230  1.178293  30452.745282  101.897952
145.932968  41.299470 2.936024  2.874400  2.577166  580.670383  133.525318  0.232296  2.777091  1.479751  1022.825117 164.524468
454.828255  358.710781  0.373231  2.922391  2.738598  180.304624  114.722033  0.525060  2.690217  0.654915  3502.186945 221.345461
404.173782  147.006965  1.069178  3.090679  1.462659  254.703548  99.081694 2.124780  1.284617  1.030288  107866.490282 260.381464
372.584667  161.650162  2.499494  1.741224  2.739823  364.948232  222.757151  0.064320  1.567853  2.596004  70.710918 157.060498
161.972011  77.593221 2.471310  2.978819  2.919131  357.388469  145.467474  0.075522  2.009114  1.961596  365.362792  243.398101
135.150036  88.453173 2.913312  2.597457  2.975860  179.747363  95.209285 0.802786  2.880359  0.858248  13057.816618  297.387261
449.204079  380.405999  0.061750  2.146375  1.552658  681.282157  268.879064  2.450643  1.996397  1.868256  52209.181598  153.536919
123.567329  45.112822 1.496829  0.657307  0.077357  422.836265  329.124722  2.808527  2.012505  0.115414  56456.351473  133.834552
340.468445  219.078495  0.607415  2.306617  2.702916  268.014983  160.119791  1.257711  1.427945  2.608926  20529.317725  180.612611
281.523963  151.744650  3.132303  0.236073  0.638952  258.922015  155.103833  2.903942  2.877485  0.552870  30362.529304  132.605135
373.736240  313.790994  1.629875  2.901247  1.582238  211.326291  58.718873 1.628292  0.439261  0.619441  50098.346659  156.253246
168.300665  100.556346  1.064026  2.531280  2.438806  367.719149  239.156352  2.617543  0.457925  1.056349  20268.194216  115.954749
439.598075  153.430375  0.153670  3.092388  2.752139  161.368545  75.606172 2.590997  0.397961  1.048048  25460.342680  137.038448
358.079546  207.522391  0.252846  2.993160  2.670267  208.036287  94.863980 2.040560  0.643537  0.341743  28635.645734  152.796006
261.689596  127.021268  1.850844  3.031963  1.909146  208.039310  172.047583  0.002222  0.606962  2.392032  0.023463  155.567913
610.833759  568.841281  1.934633  2.107184  2.609722  320.681846  180.929036  0.336073  0.899088  3.035572  832.274359  235.460506
157.962822  37.044170 2.698475  1.900964  2.021920  142.166879  71.651516 1.680913  0.639151  2.329529  16278.613452  151.785441
263.590769  180.395801  0.654013  2.340598  2.443979  173.462840  59.573885 1.344870  2.763552  2.384265  25436.831892  144.681736
268.320475  141.347966  0.508059  3.125660  2.130651  143.567901  72.033304 0.343923  0.398960  1.345977  2409.813887 239.354561
162.365677  75.615131 2.291600  2.992769  2.350072  257.983676  106.013512  1.091986  1.782252  0.811442  52255.702800  423.867354
376.988957  241.863099  0.903543  2.582264  2.321101  338.918371  30.501972 1.551347  0.742019  0.570761  51598.849644  259.525753
223.995146  88.392760 2.340058  2.985135  1.958422  412.934281  114.055333  1.696465  0.795657  1.512918  29621.883665  329.501536
348.893990  186.337473  0.020872  2.810609  1.983610  331.686599  76.656517 1.217496  2.386144  1.685937  16855.909075  101.329575
304.298514  161.024673  1.129140  1.297827  1.893460  268.640016  110.926412  2.163684  1.996901  2.847495  37759.623828  164.505342
181.176637  27.976383 1.019023  1.993814  1.594134  419.627081  79.722834 2.018119  2.491490  1.958181  25522.621269  110.135830
385.046090  237.008065  1.419670  3.075154  1.974997  141.457160  78.384617 0.312728  0.322709  0.217015  1443.961076 195.951285
393.261825  324.094002  1.149862  2.915706  3.109803  459.855911  320.341706  0.602785  2.741281  0.963480  12029.957307  265.329898
339.602781  183.221840  1.528834  2.853064  1.515052  224.202175  118.767883  0.229902  1.269872  1.970415  411.984259  108.835486
403.008400  284.201459  2.135424  1.396950  2.625582  340.261117  228.702688  1.331162  2.146567  0.398341  34662.208673  205.438748
160.858926  77.898720 3.129184  2.783500  2.117334  283.337403  149.505034  0.687863  2.576539  0.393639  16816.110111  220.793302
386.241871  182.514555  0.223895  2.727164  1.486782  137.514205  90.594515 0.938147  1.480388  2.519237  12251.763761  229.728876
313.288612  237.833628  2.205413  2.925131  1.837713  282.120339  161.092854  1.153165  0.494046  0.448821  19478.247407  292.113744
171.632719  67.856971 1.069465  2.984727  2.430288  173.960072  126.133886  0.077988  1.810057  1.020696  77.211132 323.833708
171.691022  55.021825 0.346091  2.964821  3.127419  211.767002  117.514605  2.269510  0.237170  2.624403  42067.640427  174.041114
148.844488  60.091232 2.900810  3.060880  2.512995  277.538580  193.671949  1.008892  0.073791  0.754458  12771.451211  173.025701
390.623349  317.762676  1.664261  2.954809  1.098733  333.084029  178.996218  0.900497  0.197665  0.496257  9933.256971 101.573212
258.773961  83.978749 2.608361  2.238006  2.256779  370.063615  246.864715  0.802037  2.718953  0.996787  29399.093532  364.866035
1328.203682 1270.610355 2.938062  2.868970  2.750386  107.329326  61.262579 0.025033  1.443727  0.267445  8.917555  211.635298
181.082618  79.945150 1.945154  2.684540  2.860642  682.640181  617.927098  1.930394  0.775171  0.499833  50439.735046  309.133995
119.241361  79.754994 0.637352  1.777576  1.324025  191.165008  113.828446  1.842697  2.755961  2.998154  38497.672697  126.268984
699.908823  594.781270  1.310904  2.877299  2.470651  403.671852  363.482111  1.787843  1.606388  0.474036  8997.309725 117.042047
260.803880  120.610241  2.188430  1.831759  2.754304  90.429217 29.532504 1.067131  1.512190  2.081599  18064.778799  202.121822
594.235684  543.515817  1.314265  2.470633  1.870197  264.986352  94.221375 2.789661  0.370382  2.394847  154735.959964 328.057876
327.330301  149.635973  3.103018  1.428154  1.915263  532.267794  334.514060  0.406443  2.047021  0.038148  16343.232905  523.449511
468.066325  290.382624  0.085300  2.453277  0.356887  202.051812  122.924831  2.088134  1.485175  0.468216  44662.373034  166.534975
165.263044  78.125251 2.861284  2.620777  2.997297  155.303462  31.492693 0.119022  1.181764  1.969514  469.420179  583.888305
220.186934  83.272302 1.701499  2.986426  3.114159  232.073690  59.054066 0.697032  0.020652  0.960780  10905.384256  227.183683
296.619917  179.456730  0.558711  2.393912  2.283798  234.782737  155.483413  0.589871  1.150459  2.780788  3948.458633 128.504021
168.575038  79.319457 3.065823  2.391234  1.871262  99.560852 46.993541 0.994840  0.636826  1.422113  26101.247454  310.375306
274.631010  216.761256  2.575834  2.988264  2.093091  496.126075  341.012033  0.120820  0.254241  0.727649  287.706620  186.693410
234.365000  141.125618  2.087231  2.776137  2.801145  160.989999  77.221175 1.183367  0.553298  2.576611  44095.406374  348.315557
532.985517  506.483647  1.482225  2.382751  0.673809  96.832571 63.244407 2.218717  1.447905  0.884494  18154.462275  144.842283
169.204060  68.854534 1.393658  1.760951  1.579222  281.028006  160.758127  2.901341  0.955391  0.981210  52325.012024  121.301243
274.485192  61.708203 0.641984  2.161463  2.558544  174.163692  89.370960 0.532109  1.676199  1.035431  3147.399742 133.685230
452.107449  266.641408  2.516229  0.635861  0.580125  264.646565  89.486688 3.135358  2.880149  2.770235  130266.411552 142.962672
301.001743  102.087771  2.954513  0.723107  2.234547  278.096266  75.643316 3.016495  1.117012  0.747326  433271.986306 452.121329
208.968609  64.928176 0.490141  1.618123  1.431594  102.914851  35.825033 2.683417  2.223568  3.004058  144762.503640 272.358765
188.974067  60.006522 0.222067  3.054381  3.093350  122.259285  72.083722 2.043534  0.123224  1.832315  18740.024068  213.894659
192.199352  99.294845 1.082246  3.032910  2.998550  273.771809  212.851494  2.373517  1.103875  1.155573  66220.412428  381.962517
174.994583  95.495880 2.539806  2.888569  2.544368  494.346569  330.652043  1.301717  0.646825  0.482092  53026.316827  287.264511
483.571963  158.864270  0.794990  2.105929  2.484739  275.114786  136.474089  1.815091  1.103137  1.214034  31952.103212  150.416511
263.120666  188.946576  2.125992  2.642223  1.444359  510.994132  390.235167  1.793107  1.834175  1.592438  27309.557235  134.112021
152.866917  63.419727 2.350905  2.550595  2.638253  192.314510  86.524602 0.496450  1.644070  1.529614  6866.004479 203.866604
201.806565  110.308074  2.464017  2.273108  2.579770  165.914624  36.218762 0.328810  1.238674  2.851097  520.003295  104.172961
209.727383  75.684882 0.621985  2.649400  2.965603  273.703766  241.584219  2.546875  3.072282  0.466705  37401.794319  327.021982
294.243332  101.352075  0.078861  3.108907  2.475492  325.453319  146.816513  2.483537  2.514453  1.284537  132091.493356 383.910900
310.910644  187.332408  0.090799  2.576953  2.210185  238.008783  160.306967  0.656563  2.934487  1.740199  4590.978116 213.666891
155.794584  72.829767 2.695139  2.658862  2.818659  255.528167  97.340249 1.012070  0.264992  0.236933  25266.658602  328.897739
234.546492  184.560494  2.679155  2.915123  2.382921  248.124969  195.636156  0.861590  0.402321  2.403231  10540.588740  301.293456
166.551723  76.668750 2.649562  2.897292  1.860277  309.381090  270.863013  1.108809  0.327114  3.038526  10149.202011  287.611460
185.232773  81.656802 2.591750  1.087965  0.378991  702.264248  647.728538  2.919627  2.191208  2.440211  32012.798586  211.199317
203.880293  121.733860  0.940659  0.304922  0.116815  1291.239816 860.698207  2.897127  1.781861  1.644940  321668.756922 150.657315
260.527847  142.272442  0.119140  1.788955  2.745240  245.296005  190.462152  1.074132  2.212745  2.231648  7798.161181 112.999206
801.178883  331.002990  0.767905  1.299612  2.656462  675.712732  447.933967  1.848306  0.720016  0.216282  91928.665648  256.519039
211.360761  77.047853 3.045721  2.801593  2.212837  227.262556  152.960067  1.010449  0.570519  1.155242  19822.682854  566.466939
182.114202  53.627069 3.041073  2.749662  2.775785  217.012349  114.792658  0.658900  0.743248  1.798567  14448.760283  467.186985
129.544109  42.255585 1.477038  0.589890  0.820101  284.389944  208.985270  2.774753  2.515238  1.793818  49547.327280  122.277596
798.614489  502.587037  0.857501  2.033410  2.379662  188.137646  79.064793 1.009844  0.697741  0.553342  28863.335318  244.977941
385.794232  285.055117  0.997023  2.486708  2.265429  315.818217  250.357915  0.861677  0.561244  1.114332  16585.935095  276.568630
433.861029  304.302536  1.576461  2.943449  3.039063  137.567252  108.000645  0.387544  0.090576  0.438663  3218.385784 323.461989
292.023799  176.942943  1.874681  3.000720  2.055479  369.375214  187.378310  1.595730  0.232169  0.792470  57253.953085  200.230695
222.311622  124.018833  1.571323  0.952867  0.184211  260.926542  167.177967  1.932746  2.747783  0.225816  25509.736434  229.738269
750.681037  565.033033  0.648211  2.869064  2.800748  157.979784  71.639005 0.181026  0.848706  0.219598  2393.346560 342.154383
286.467236  60.286657 2.114970  1.506160  0.596267  164.083121  34.024898 2.385777  3.089694  2.710377  60883.614414  318.491007
620.480155  491.249456  1.281154  2.363915  2.543829  581.941726  414.812687  1.826012  0.947602  1.100866  114365.968521 263.493091
460.516047  293.423257  1.000230  2.671478  1.821714  450.128697  126.258561  0.327406  2.821460  1.656527  3848.516690 296.410287
474.784210  126.067436  0.001226  2.596599  2.196828  283.972418  64.049033 2.677754  0.554298  0.549137  151379.969193 384.418995
88.008034 52.451228 3.137494  3.127418  2.665613  171.699880  90.764980 0.875056  0.074295  0.833848  9278.885315 151.208210
309.287577  234.746685  1.381229  2.434118  2.380520  184.130533  47.912253 2.693798  1.247994  1.932051  54403.670513  257.522824
163.054699  64.946704 2.291963  2.218518  2.624232  303.610403  138.135904  1.473538  0.364752  0.074925  14392.371209  114.798148
213.922891  104.735009  2.760732  2.670869  2.518295  526.423555  394.293794  0.487706  0.106920  1.148364  4814.114663 204.989603
237.917081  99.804820 3.041786  2.200351  2.788171  402.183112  131.007262  1.498286  2.027448  2.666632  26658.931072  158.694262
208.628890  94.222533 2.600117  2.606401  3.128377  285.197574  113.412179  0.422088  1.882978  2.951185  6409.418986 217.232939
391.948720  245.063448  2.864003  0.528659  0.215770  161.241694  73.616490 2.457415  2.272929  2.833244  62899.032385  165.154934
176.605465  72.567925 1.659188  1.368387  2.153184  521.301392  144.936694  2.254137  1.141255  1.424661  50535.942810  121.666745
273.033629  125.818863  0.904986  2.845606  2.048592  165.707415  72.070642 0.237570  1.670231  2.757498  1285.742022 415.904415
198.364794  133.480371  2.453189  2.028865  1.938670  191.945184  96.536378 0.955250  1.497565  0.966551  28433.007210  179.482375
306.165218  156.435108  2.638491  2.379307  1.902349  250.808296  171.135622  0.586164  1.094117  0.394426  13913.164034  185.861889
181.551794  93.365044 1.587564  3.028405  2.918364  193.537514  146.231081  1.638544  0.260621  1.637995  9055.800603 137.047575
465.987172  351.341361  1.735206  2.021379  2.322381  271.162675  169.285295  1.014542  1.377774  0.210020  63155.207658  226.181783
626.124425  67.217498 0.387760  0.623296  0.451862  781.111621  486.252309  2.855283  1.072146  1.143576  332622.048057 286.449111
179.064099  78.251264 2.160869  2.281472  2.708801  349.822722  161.211405  2.958277  0.807368  0.811063  136031.040327 250.369368
333.746766  198.436637  1.409976  2.304588  2.396081  363.697063  82.233761 0.336654  1.067819  1.617137  2313.601673 120.567256
589.252638  489.020006  0.896703  2.878699  1.306094  374.724770  153.158500  2.996515  0.468774  0.293594  296606.764282 557.687067
229.090226  147.398986  2.130053  2.825438  3.040565  173.237350  88.502599 0.858860  1.815881  0.103115  20540.517178  291.288618
806.999888  768.018859  1.821918  1.719475  2.428762  249.399493  219.703509  1.527263  1.448503  1.162306  11621.359435  107.334363
634.739067  499.071469  2.623018  2.203916  0.802237  290.016439  220.225388  1.314285  1.399348  0.489412  43471.100106  202.551227
360.945575  311.428939  2.305198  2.610557  2.302354  262.619838  167.115012  0.345487  1.683096  0.895828  1215.931412 179.628802
446.061618  301.230823  2.197757  1.886834  2.936671  391.507376  82.678783 0.383901  2.590215  2.417362  8159.909598 384.888986
388.312204  182.079393  2.959333  2.240360  2.525933  491.524128  210.336340  0.499493  3.039827  0.147093  15934.704192  212.975656
320.586874  223.672806  0.438074  2.409633  1.481125  172.181134  123.907510  1.261772  1.775611  2.522030  11806.982829  128.100629
257.135643  125.783363  1.866766  0.523845  0.397349  211.676234  156.932948  3.076780  0.309385  1.464002  25980.574195  150.805696
144.881140  77.793330 2.923746  2.702695  2.737735  515.379902  30.626535 0.529611  1.090700  0.730502  4086.594553 285.299660
317.781485  264.436282  2.732723  2.303943  2.963819  384.226618  73.785587 1.867215  0.308800  0.305159  31145.595365  139.963240
204.184266  78.094727 2.369444  3.135947  2.832994  178.807759  75.648631 1.006408  0.650157  0.406606  11149.271187  124.243869
279.079623  98.877037 0.313282  2.363886  3.137579  319.548801  78.164387 0.286583  2.874694  2.418732  2236.050650 141.080860
266.373191  74.711509 2.949456  2.742121  2.385179  216.199192  73.387297 0.435136  0.274975  0.923793  12213.142419  269.039054
163.389482  75.852666 2.969493  2.365179  2.663118  300.559707  131.852799  0.823976  1.618222  1.498264  11331.011998  295.083580
