m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_pT
141.913589	85.771434	1.614373	1.561311	0.845252	147.009724	59.228382	1.862377	1.400542	1.816334	75.212183
199.036538	54.614286	0.374077	1.019883	1.709817	291.292386	77.626351	2.512943	3.118882	2.213304	230.349812
326.806578	297.722893	0.770330	0.812148	1.962692	352.955337	106.363842	2.733320	1.108250	1.311502	198.040650
274.795644	251.885195	2.781214	2.911392	2.222603	196.019503	103.374646	0.634989	2.012964	2.792977	293.121958
306.540022	106.603437	2.848627	1.413990	1.714209	262.938840	172.453372	2.339957	1.082043	0.806964	669.225787
212.652322	204.104965	1.156118	1.572839	0.519723	172.050764	57.237481	1.866116	1.672121	2.670247	113.909561
247.801994	176.838635	0.994205	0.242772	0.754051	227.460336	76.444866	1.930585	2.607586	3.009099	222.735436
161.552284	148.463131	2.909447	2.921144	2.638432	207.776247	37.836368	0.655910	1.052076	0.852627	276.208425
333.791101	313.765852	0.751645	2.472787	2.195523	524.303453	373.167999	1.918839	0.066581	0.511423	188.285839
702.286025	299.181658	0.660898	2.229870	2.313789	230.401022	88.585772	0.889496	2.028948	1.836321	228.134080
555.585919	493.343672	0.837632	1.543591	2.454631	187.276510	82.929029	1.469794	1.938219	2.149329	335.028852
128.502502	62.369186	1.691120	2.637394	2.284422	173.735490	73.819282	2.703911	0.055622	0.819014	113.033538
579.559822	373.954213	1.722571	2.725540	2.388575	172.617803	110.503010	0.025671	1.034981	0.352010	338.034069
1414.045787	1372.145395	3.019487	2.887396	2.689400	251.165099	75.129838	0.498812	1.316101	1.924677	459.649207
186.383857	136.932698	2.161512	1.693167	2.817823	294.557382	88.875410	1.290541	0.986585	2.035557	107.001967
360.626532	236.117380	1.713075	2.944704	2.774100	124.681169	69.151067	1.349010	2.553533	1.636326	279.054200
198.919981	81.426501	2.198596	3.121502	2.845232	171.231191	98.566290	1.054472	0.067215	2.583790	274.266728
293.130920	246.350025	0.808504	0.226529	1.281961	798.902709	146.763490	2.601295	2.784046	0.875809	239.723277
143.189234	57.042795	0.520778	0.324812	0.141902	254.533191	220.047818	2.134956	2.938797	3.126297	331.552689
1069.829426	997.847279	0.072879	1.805272	2.396228	244.230040	188.622538	2.757241	0.743296	2.101253	76.357392
501.331700	341.287416	0.448722	1.920173	1.179648	327.418894	147.451361	0.540186	2.680295	2.880182	186.186584
195.969913	130.608551	0.681690	1.424192	1.670249	158.773451	63.640852	2.415391	1.538762	0.853699	106.011763
589.020599	492.511008	0.441277	2.693124	2.284837	148.669582	59.304806	0.814369	0.126869	0.321709	289.357943
473.522918	136.146134	0.699688	2.894533	2.988573	170.194125	36.599131	0.698624	0.371116	0.171496	182.661427
538.916393	508.835941	0.251564	2.735432	2.114903	171.967511	85.963453	0.022107	1.306105	0.763634	221.848973
506.237996	445.385862	0.113735	1.932556	1.096635	176.864258	104.926591	1.250194	1.902052	1.384423	154.130876
95.041392	65.604264	2.851799	2.568152	2.525513	204.113108	55.720348	0.227976	1.651063	0.945159	30.557115
199.590744	183.232844	2.099246	2.564613	2.033287	460.429662	61.861000	1.724417	0.502874	0.893687	288.678674
281.048046	94.187540	0.430306	2.451060	2.841006	322.017936	119.769306	1.517841	1.282729	0.272464	66.623092
188.928710	141.027165	1.849838	2.261962	1.946783	601.117912	241.635352	0.574048	1.973083	1.439764	185.359564
212.429197	60.769681	2.610349	1.067493	1.325382	119.720190	27.486942	1.704438	3.012674	2.495016	53.328087
430.265890	247.967779	3.009535	2.591979	2.281408	487.501877	162.512855	0.063791	0.994918	2.465967	443.844354
453.445385	218.783689	0.878000	2.758485	2.971254	230.670197	64.581496	0.455205	2.996265	1.476530	134.193409
305.515650	258.579549	0.461700	2.739775	2.388031	175.848006	55.254758	0.097627	1.058621	1.646782	414.314633
431.981609	355.736211	2.636925	1.352212	0.992759	214.562376	107.614357	1.878616	2.638181	1.513413	43.307132
644.310337	578.911287	2.208565	0.367793	0.941905	151.480951	81.320306	2.664431	2.983171	2.471245	404.569051
1035.626713	178.055738	0.515244	3.089149	3.101917	370.968572	153.239306	0.020940	1.642972	1.187117	323.116343
258.596806	102.231379	2.807979	2.037036	2.043733	275.285333	63.971079	1.464326	0.173182	1.022487	31.565279
816.666597	264.812537	2.473669	0.987538	0.245692	337.270233	70.898596	1.916227	3.028603	2.905042	360.744177
519.820446	335.578006	2.044403	0.642337	0.521084	166.657460	89.326040	3.020215	3.029468	2.933049	60.798446
438.998787	172.861719	0.560499	2.779691	2.681522	188.512309	97.709912	1.349718	0.175933	1.003607	417.293226
1085.983602	1013.670649	0.851451	2.659547	2.651659	244.818543	111.642361	0.120422	1.428571	0.897629	338.592285
334.169187	121.076203	0.505512	2.867998	2.761426	173.663520	88.833160	0.362337	0.372898	1.527184	320.622727
196.147117	133.864402	3.009506	2.972548	2.324295	150.682501	112.625360	2.905046	0.751995	2.412482	200.840150
352.280955	215.362597	0.102198	1.237489	0.754636	136.796609	97.205485	2.793630	2.563802	2.114901	110.441582
203.698128	104.845797	0.787292	2.742050	2.050795	139.014435	88.421683	0.165457	2.247272	2.721929	227.648583
168.367564	71.802225	1.759240	0.355863	0.021689	104.693541	71.354361	3.086168	1.914593	2.523661	129.878322
115.808126	57.969963	0.149242	1.535463	2.270332	143.214923	38.908897	2.357380	1.292000	1.825715	133.030965
165.024095	52.154327	2.088458	2.362992	1.852152	107.200945	56.728516	1.709779	0.278947	1.900408	128.989157
209.877443	104.536858	2.534871	2.595858	2.748487	187.199503	70.822444	1.586885	0.005084	0.741206	74.365336
87.740238	18.954887	0.907127	1.457495	1.757297	98.919625	49.979413	3.127110	0.084577	2.476475	129.132423
121.462384	64.267683	2.321684	1.857551	2.056871	127.304849	72.028935	1.035247	0.385619	0.016080	138.861520
435.137271	284.157405	2.543840	2.640506	2.739484	336.878246	91.983916	0.060570	0.848501	1.032055	439.831411
128.969550	83.489025	0.942686	1.777789	2.542042	209.915726	62.131591	0.848414	1.872563	1.340520	138.260858
367.637409	307.000905	2.719804	3.129286	2.948451	317.988234	118.825027	0.591326	2.158492	1.489797	303.777241
280.443962	261.084511	2.638541	1.985809	0.888518	221.097558	138.945650	0.798999	1.433317	2.284461	106.732546
414.101414	198.200707	1.927340	0.975345	0.040541	217.054326	53.474028	2.166534	3.139123	3.001903	243.319920
235.828456	145.407484	3.106533	2.855778	1.961937	314.529227	68.169543	0.047896	1.113548	1.684746	139.983973
226.846048	107.745691	2.703033	2.719318	2.931340	246.663857	195.720396	0.633327	0.248100	0.634194	221.902978
877.016664	798.015901	0.221234	2.464810	2.376866	385.885662	221.614644	1.168052	1.413209	0.053817	411.434238
126.287539	105.270635	1.400238	2.844664	1.735416	190.293069	60.494093	1.984521	0.369286	1.118942	288.413556
589.666766	289.557586	2.944577	3.009322	2.816213	378.904586	342.543815	0.517524	0.665726	0.435198	245.378928
265.104053	93.701271	0.388820	1.574292	2.050632	240.051748	76.587963	2.416042	1.148405	2.045594	201.868730
810.608846	693.107526	1.221097	1.742153	1.586268	230.387560	127.082390	1.889016	1.369465	1.596686	154.523361
453.802251	287.248930	1.347018	0.790248	1.244637	274.242698	195.883908	2.157201	2.264152	2.945273	54.582638
477.054601	436.861265	1.507867	0.115461	1.423117	292.224143	90.689462	0.667944	2.825619	2.468249	103.851269
702.720596	596.204285	0.807160	2.596729	0.965146	254.256513	86.403121	2.102085	1.391230	2.109767	104.864881
357.396022	313.916436	0.579230	3.000254	1.968056	195.180234	62.172229	0.470248	1.586112	2.341659	154.963157
578.259236	510.113730	0.778274	1.522982	1.676745	184.540358	77.750745	1.339623	2.692659	2.916932	164.875760
196.096849	132.703074	0.765023	1.609588	0.937898	336.122269	100.433051	2.095866	1.457368	1.283974	134.256039
314.465553	192.924593	1.669737	2.973534	2.575906	212.818462	174.144746	0.750217	2.965021	1.377909	25.472262
776.213096	294.323461	2.248321	2.428306	2.757026	118.977217	60.030722	0.712203	2.469708	2.139666	201.406474
592.886502	405.754207	0.442056	1.080024	1.497079	581.977842	74.282657	3.124407	1.237794	1.742678	214.249936
957.915001	720.119524	0.837441	1.020985	1.587861	732.489145	637.000455	2.126794	1.367891	1.006579	185.972073
361.324682	294.479018	1.061163	2.569995	2.036129	86.550408	50.655758	2.453266	2.347463	1.999407	120.364080
263.844735	154.041506	0.283706	2.731384	2.875843	176.681393	47.792753	0.169982	1.132038	0.335613	169.717894
936.477578	822.004318	2.953144	0.293946	0.948853	182.591527	40.954700	2.363668	2.202781	2.774184	153.086129
116.630987	41.689083	1.840796	3.041965	2.465528	160.415166	78.042736	2.366879	0.800441	2.115096	330.674338
543.287252	223.975046	0.850420	2.950748	3.072318	482.203327	200.920640	0.097771	1.405823	0.713255	568.716195
134.983128	80.026999	1.736707	2.134865	1.906908	177.651455	67.961013	2.430919	0.788297	0.663123	104.992071
443.618538	169.126726	1.301392	2.568957	1.079886	181.563294	46.008076	2.193363	1.509459	2.191924	161.300004
1139.475427	964.021862	0.836305	2.688096	2.909080	447.995344	328.987568	0.324241	2.161278	2.970972	45.594059
233.941311	137.945410	3.003130	0.158191	1.096443	345.453656	146.463766	2.949823	2.990324	2.720813	340.517559
152.415945	86.921262	2.189924	2.119844	1.997990	173.006850	67.725829	2.105834	0.344752	0.242356	83.919654
281.283457	190.169451	1.156712	2.374658	3.016609	162.764542	87.909516	0.292871	1.537465	2.311445	168.976375
169.334531	87.568657	1.936685	1.971968	2.839075	714.615721	194.110753	0.040540	2.184293	0.570054	227.251224
287.687578	202.781793	3.107123	2.917842	2.854034	199.583993	58.374901	1.907040	0.799167	0.257691	249.621564
249.770044	200.054974	0.393964	2.097647	3.039256	249.370237	47.739583	3.011498	0.714099	1.236761	298.284447
217.623682	54.645821	1.131815	2.715080	2.995765	243.412862	41.117355	2.036062	0.830869	1.206824	301.474388
255.259196	194.530565	2.228768	2.775248	1.981980	131.539490	41.871941	1.872679	0.189164	0.319973	183.468363
241.533902	75.036139	0.515017	1.630375	2.022557	137.517225	106.715801	2.403457	1.530706	0.812199	90.051914
